DATE,USD3MTD156N
2017-08-16,1.31667
2017-08-17,1.31639
2017-08-18,1.31472
2017-08-21,1.31444
2017-08-22,1.31722
2017-08-23,1.31722
2017-08-24,1.31722
2017-08-25,1.31778
2017-08-28,.
2017-08-29,1.31694
2017-08-30,1.31611
2017-08-31,1.31778
2017-09-01,1.31611
2017-09-04,1.31611
2017-09-05,1.31722
2017-09-06,1.31722
2017-09-07,1.31722
2017-09-08,1.31033
2017-09-11,1.31667
2017-09-12,1.31917
2017-09-13,1.32
2017-09-14,1.32111
2017-09-15,1.32389
2017-09-18,1.325
2017-09-19,1.32611
2017-09-20,1.32306
2017-09-21,1.32833
2017-09-22,1.32944
2017-09-25,1.32972
2017-09-26,1.33083
2017-09-27,1.33278
2017-09-28,1.335
2017-09-29,1.33389
2017-10-02,1.33556
2017-10-03,1.3425
2017-10-04,1.34667
2017-10-05,1.34861
2017-10-06,1.35028
2017-10-09,1.35639
2017-10-10,1.35667
2017-10-11,1.35861
2017-10-12,1.35917
2017-10-13,1.35333
2017-10-16,1.35389
2017-10-17,1.35733
2017-10-18,1.36261
2017-10-19,1.3625
2017-10-20,1.36476
2017-10-23,1.36742
2017-10-24,1.37064
2017-10-25,1.37446
2017-10-26,1.37796
2017-10-27,1.38009
2017-10-30,1.37678
2017-10-31,1.38122
2017-11-01,1.38483
2017-11-02,1.39139
2017-11-03,1.39194
2017-11-06,1.39703
2017-11-07,1.40258
2017-11-08,1.40981
2017-11-09,1.41289
2017-11-10,1.41289
2017-11-13,1.41586
2017-11-14,1.41899
2017-11-15,1.4219
2017-11-16,1.43567
2017-11-17,1.44067
2017-11-20,1.44594
2017-11-21,1.454
2017-11-22,1.46233
2017-11-23,1.46206
2017-11-24,1.46763
2017-11-27,1.47725
2017-11-28,1.47882
2017-11-29,1.48063
2017-11-30,1.48738
2017-12-01,1.49463
2017-12-04,1.50849
2017-12-05,1.51532
2017-12-06,1.52263
2017-12-07,1.53606
2017-12-08,1.54878
2017-12-11,1.56347
2017-12-12,1.57352
2017-12-13,1.58849
2017-12-14,1.60042
2017-12-15,1.61331
2017-12-18,1.62548
2017-12-19,1.64203
2017-12-20,1.65793
2017-12-21,1.67464
2017-12-22,1.68577
2017-12-25,.
2017-12-26,.
2017-12-27,1.69339
2017-12-28,1.69465
2017-12-29,1.69428
2018-01-01,.
2018-01-02,1.69693
2018-01-03,1.69593
2018-01-04,1.70381
2018-01-05,1.70393
2018-01-08,1.70802
2018-01-09,1.70457
2018-01-10,1.70911
2018-01-11,1.72019
2018-01-12,1.72152
2018-01-15,1.73133
2018-01-16,1.73408
2018-01-17,1.73918
2018-01-18,1.7447
2018-01-19,1.74447
2018-01-22,1.7413
2018-01-23,1.7452
2018-01-24,1.75246
2018-01-25,1.76031
2018-01-26,1.7669
2018-01-29,1.77225
2018-01-30,1.7734
2018-01-31,1.77777
2018-02-01,1.78698
2018-02-02,1.78902
2018-02-05,1.79345
2018-02-06,1.7907
2018-02-07,1.79989
2018-02-08,1.8105
2018-02-09,1.82
2018-02-12,1.83338
2018-02-13,1.83875
2018-02-14,1.85
2018-02-15,1.8725
2018-02-16,1.88494
2018-02-19,1.89213
2018-02-20,1.90394
2018-02-21,1.91975
2018-02-22,1.94363
2018-02-23,1.95625
2018-02-26,1.98419
2018-02-27,2.00625
2018-02-28,2.01719
2018-03-01,2.02457
2018-03-02,2.02519
2018-03-05,2.0349
2018-03-06,2.04728
2018-03-07,2.05725
2018-03-08,2.0714
2018-03-09,2.08875
2018-03-12,2.10688
2018-03-13,2.1245
2018-03-14,2.145
2018-03-15,2.1775
2018-03-16,2.20175
2018-03-19,2.22249
2018-03-20,2.24814
2018-03-21,2.27108
2018-03-22,2.28557
2018-03-23,2.29155
2018-03-26,2.29496
2018-03-27,2.302
2018-03-28,2.308
2018-03-29,2.31175
2018-03-30,.
